Author,Genre,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eric Larson,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Ernest Cline,Fiction,0,0,0,0,0,0,0,0,1,2,0
F. A. Hayek,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
F. Scott Fitzgerald,Fiction,0,0,0,1,2,3,0,0,0,0,0
Francis Chan,Non Fiction,1,2,3,0,0,0,0,0,0,0,0
Fredrik Backman,Fiction,0,0,0,0,0,0,0,1,2,0,0
Gallup,Non Fiction,1,2,3,4,5,6,7,8,9,0,0
Garth Stein,Fiction,0,1,2,0,0,0,0,0,0,0,0
Gary Chapman,Non Fiction,1,2,3,4,5,6,7,8,9,10,11
Gayle Forman,Fiction,0,0,0,0,0,1,0,0,0,0,0
Geneen Roth,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
George Orwell,Fiction,0,0,0,0,0,0,0,0,1,0,0
George R. R. Martin,Fiction,0,0,1,0,0,2,0,0,0,0,0
George R.R. Martin,Fiction,0,0,1,2,3,0,0,0,0,0,0
George W. Bush,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Giles Andreae,Fiction,0,0,0,0,0,0,1,2,3,4,5
Gillian Flynn,Fiction,0,0,0,1,2,3,0,0,0,0,0
Glenn Beck,Non Fiction,1,3,0,0,0,0,0,0,0,0,0
Golden Books,Fiction,0,0,0,0,0,0,0,0,1,0,0
Greg Mortenson,Non Fiction,1,2,0,0,0,0,0,0,0,0,0
Harper Lee,Fiction,0,0,0,0,1,2,4,5,0,0,6
Heidi Murkoff,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Hillary Rodham Clinton,Non Fiction,0,0,0,0,0,0,0,0,1,0,0
Hopscotch Girls,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Howard Stern,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Ian K. Smith M.D.,Non Fiction,0,0,0,0,1,0,0,0,0,0,0
Ina Garten,Non Fiction,0,1,0,2,0,3,0,0,0,0,0
J. D. Vance,Non Fiction,0,0,0,0,0,0,0,1,2,0,0
J.K. Rowling,Fiction,0,0,0,1,0,0,0,5,7,0,8
JJ Smith,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
James Comey,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
James Dashner,Fiction,0,0,0,0,0,1,0,0,0,0,0
James Patterson,Fiction,1,0,0,0,0,0,0,0,0,2,0
Jay Asher,Fiction,0,0,0,0,0,0,0,0,1,0,0
Jaycee Dugard,Non Fiction,0,0,1,0,0,0,0,0,0,0,0
Jeff Kinney,Fiction,1,3,4,5,6,7,8,9,10,11,12
Jen Sincero,Non Fiction,0,0,0,0,0,0,0,1,2,3,4
Jennifer Smith,Non Fiction,0,0,0,0,0,0,0,0,0,1,2
Jill Twiss,Fiction,0,0,0,0,0,0,0,0,0,1,0
Jim Collins,Non Fiction,1,2,3,4,0,0,0,0,0,0,0
Joanna Gaines,Non Fiction,0,0,0,0,0,0,0,0,0,2,0
Joel Fuhrman MD,Non Fiction,0,0,1,2,0,0,0,0,0,0,0
Johanna Basford,Non Fiction,0,0,0,0,0,0,2,0,0,0,0
John Green,Fiction,0,0,0,1,2,3,0,0,0,0,0
John Grisham,Fiction,0,1,2,3,4,0,0,0,0,0,5
John Heilemann,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Jon Meacham,Non Fiction,0,0,0,1,0,0,0,0,0,0,0
Jon Stewart,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Jonathan Cahn,Fiction,0,0,0,1,0,0,0,0,0,0,0
Jordan B. Peterson,Non Fiction,0,0,0,0,0,0,0,0,0,1,0
Julia Child,Non Fiction,1,0,0,0,0,0,0,0,0,0,0
Justin Halpern,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Kathryn Stockett,Fiction,1,2,4,0,0,0,0,0,0,0,0
Keith Richards,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Ken Follett,Fiction,0,0,0,1,0,0,0,0,0,0,0
Kevin Kwan,Fiction,0,0,0,0,0,0,0,0,0,1,0
Khaled Hosseini,Fiction,0,0,0,0,1,0,0,0,0,0,0
Kristin Hannah,Fiction,0,0,0,0,0,0,1,2,0,0,0
Larry Schweikart,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Laura Hillenbrand,Non Fiction,0,1,2,3,0,4,0,0,0,0,0
Laurel Randolph,Non Fiction,0,0,0,0,0,0,0,0,1,2,0
Lin-Manuel Miranda,Non Fiction,0,0,0,0,0,0,0,1,0,0,0
Lysa TerKeurst,Non Fiction,0,0,0,0,0,0,0,1,0,0,2
M Prefontaine,Non Fiction,0,0,0,0,0,0,0,0,0,0,1
Madeleine L'Engle,Fiction,0,0,0,0,0,0,0,0,0,1,0
Malcolm Gladwell,Non Fiction,1,3,0,0,4,0,0,0,0,0,0
Margaret Atwood,Fiction,0,0,0,0,0,0,0,0,1,0,0
Margaret Wise Brown,Fiction,0,0,0,0,0,0,0,0,1,2,3
Marie Kondō,Non Fiction,0,0,0,0,0,0,1,2,3,0,4
Marjorie Sarnat,Non Fiction,0,0,0,0,0,0,2,0,0,0,0
Mark Hyman M.D.,Non Fiction,0,0,0,1,0,0,0,0,0,0,0
Mark Manson,Non Fiction,0,0,0,0,0,0,0,0,1,2,3
Mark Owen,Non Fiction,0,0,0,1,0,0,0,0,0,0,0
Mark R. Levin,Non Fiction,1,0,0,0,0,0,0,0,0,0,2
Mark Twain,Non Fiction,0,1,0,0,0,0,0,0,0,0,0
Markus Zusak,Fiction,0,0,0,0,1,2,0,0,0,0,0
Marty Noble,Non Fiction,0,0,0,0,0,0,1,0,0,0,0
Mary Ann Shaffer,Fiction,1,0,0,0,0,0,0,0,0,0,0
Maurice Sendak,Fiction,1,0,0,0,0,0,0,0,0,0,0
